Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,hist,Agricultural,Domestic,Industrial
114,Mozambique,1.26,0.36,0.00,19687476.00,185385648.00,551757248.00,474224192.00,6450402.00,0.00,0.00,0.00,0.00,0.00,,1.31,1.19,1.17
115,Democratic Republic of the Congo,1.23,0.31,0.00,0.00,347699520.00,331534688.00,412513728.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.42,1.16,1.38
116,Italy,1.23,0.54,0.00,5700969472.00,6383145984.00,11026676736.00,22710364160.00,418143.00,0.00,481113.00,0.00,0.00,0.00,,1.31,1.10,1.19
117,Paraguay,1.21,0.07,0.00,0.00,11429733.00,648001728.00,209108.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.22,1.19,1.19
118,Togo,1.20,0.18,0.00,949042.00,32781466.00,195862976.00,3795302.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.20,1.20,1.10
119,Ireland,1.18,0.49,0.00,407302016.00,624765824.00,650424832.00,1551955584.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.26,1.00,0.90
120,Nepal,1.18,0.13,0.00,0.00,6236.00,9764035584.00,625840960.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.18,1.19,1.16
121,Honduras,1.17,0.21,0.00,3197572.00,231495824.00,1347854848.00,101859512.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.17,1.19,1.16
122,North Korea,1.17,0.61,0.00,1375492096.00,1938290816.00,2475363072.00,1196365056.00,492126432.00,608264832.00,0.00,0.00,0.00,0.00,,1.06,1.15,1.68
123,Djibouti,1.12,0.90,0.00,16441260.00,738466.00,486120.00,1439139.00,5544678.00,265791.00,1041804.00,0.00,0.00,0.00,,1.57,0.96,0.53
124,Ivory Coast,1.10,0.19,0.00,29979874.00,553683648.00,1354434560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.14,1.06,1.11
125,Central African Republic,1.09,0.14,0.00,0.00,19805280.00,65020996.00,5462203.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.07,1.09,1.08
126,Brazil,1.09,0.32,0.00,3708058624.00,15816396800.00,48561827840.00,5142286336.00,317354240.00,0.00,0.00,0.00,0.00,0.00,,1.08,1.09,1.10
127,Greece,1.08,0.58,0.00,1517929088.00,1771948288.00,2297787904.00,2824818432.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.11,0.82,0.88
